zone_id,area_category,max_capacity,fixed_seating,bottleneck_prone,queue_prone,zone_priority
ZONE_00142,3,1451,1,0,1,2
ZONE_00143,3,2303,0,1,0,3
ZONE_00144,8,2426,1,0,1,2
ZONE_00145,9,2849,0,1,0,2
ZONE_00146,4,1513,0,0,1,5
ZONE_00147,2,2785,0,0,0,3
ZONE_00148,0,2199,0,0,0,4
ZONE_00149,3,2480,1,0,0,1
ZONE_00150,9,2690,1,1,1,3
ZONE_00151,6,1805,0,0,0,4
ZONE_00152,8,877,1,0,0,3
ZONE_00153,6,2680,1,0,1,4
ZONE_00154,6,645,1,1,0,5
ZONE_00155,3,1393,1,0,0,2
ZONE_00156,9,1053,1,1,0,4
ZONE_00157,6,1563,1,1,1,2
ZONE_00158,3,2109,1,0,1,5
ZONE_00159,7,1374,1,0,0,3
ZONE_00160,5,577,1,1,0,2
ZONE_00161,4,1908,1,1,1,1
ZONE_00162,3,1113,1,1,0,4
ZONE_00163,0,1672,0,1,0,4
ZONE_00164,8,654,0,1,1,2
ZONE_00165,8,2128,0,1,0,5
ZONE_00166,7,2456,0,1,0,5
ZONE_00167,0,1678,1,0,1,2
ZONE_00168,5,889,0,0,0,4
ZONE_00169,6,609,0,1,1,1
ZONE_00170,5,2507,1,1,0,1
ZONE_00171,8,2695,1,0,0,2
ZONE_00172,9,2456,0,0,0,2
ZONE_00173,1,2733,1,1,1,3
ZONE_00174,5,2102,1,0,0,5
ZONE_00175,1,2340,0,1,0,5
ZONE_00176,8,1613,1,0,0,5
ZONE_00177,2,2137,0,1,0,5
ZONE_00178,4,1362,0,1,0,5
ZONE_00179,2,2327,1,1,1,4
ZONE_00180,0,576,0,0,1,3
ZONE_00181,0,2500,0,1,0,2
ZONE_00182,1,950,1,1,1,4
ZONE_00183,8,1440,1,1,1,4
ZONE_00184,4,1159,1,1,0,5
ZONE_00185,8,2417,1,1,1,3
ZONE_00186,2,1664,0,0,1,3
ZONE_00187,5,1637,0,0,0,5
ZONE_00188,9,2704,1,1,0,4
ZONE_00189,3,641,1,0,0,1
ZONE_00190,7,2145,0,1,1,2
ZONE_00191,5,2924,0,1,0,4
ZONE_00192,5,509,0,1,0,1
ZONE_00193,0,2288,1,0,0,3
ZONE_00194,3,1284,0,0,1,3
ZONE_00195,7,2218,0,0,1,5
ZONE_00196,2,2521,1,0,0,3
ZONE_00197,3,1645,1,0,1,2
ZONE_00198,2,2312,1,1,1,4
ZONE_00199,8,1676,0,0,1,5
ZONE_00200,9,914,1,0,1,2
ZONE_00201,1,1610,1,1,1,2
ZONE_00202,0,1849,0,1,1,4
ZONE_00203,9,1401,1,0,0,5
ZONE_00204,3,2943,1,1,0,5
ZONE_00205,7,509,0,1,0,3
ZONE_00206,4,2658,0,0,0,3
ZONE_00207,5,1332,1,0,0,3
ZONE_00208,4,1822,1,1,1,1
ZONE_00209,0,1462,0,1,1,5
ZONE_00210,5,643,0,1,0,3
ZONE_00211,1,2460,0,1,1,3
ZONE_00212,5,1705,1,0,1,1
ZONE_00213,9,2951,0,1,1,2
ZONE_00214,2,1904,0,0,1,2
ZONE_00215,2,532,0,1,0,1
ZONE_00216,1,2964,0,1,1,5
ZONE_00217,9,1727,1,1,0,2
ZONE_00218,9,2426,0,1,1,4
ZONE_00219,8,2828,0,1,0,1
ZONE_00220,3,1658,1,1,1,5
ZONE_00221,3,1462,0,1,1,1
ZONE_00222,6,1148,0,0,0,1
ZONE_00223,4,1768,1,0,0,5
ZONE_00224,6,1005,0,1,1,4
ZONE_00225,1,1558,0,0,0,2
ZONE_00226,5,599,0,0,1,2
ZONE_00227,2,522,1,1,0,4
ZONE_00228,0,1776,0,0,0,2
ZONE_00229,7,1714,0,0,1,1
ZONE_00230,8,2340,0,1,1,4
ZONE_00231,8,1406,1,1,0,4
ZONE_00232,8,1978,0,0,1,2
ZONE_00233,4,1184,1,1,0,4
ZONE_00234,4,2559,0,1,1,2
ZONE_00235,3,2194,1,0,1,2
ZONE_00236,0,2610,1,0,0,5
ZONE_00237,7,1205,1,1,1,2
ZONE_00238,1,708,0,0,0,4
ZONE_00239,9,1753,0,1,0,2
ZONE_00240,4,2553,1,1,0,1
ZONE_00241,5,2974,0,0,1,1
ZONE_00242,0,1877,1,0,0,2
ZONE_00243,4,554,0,0,0,1
ZONE_00244,4,2084,0,1,1,1
ZONE_00245,5,2307,1,0,0,1
ZONE_00246,3,502,1,0,0,2
ZONE_00247,1,2168,1,0,0,4
ZONE_00248,0,2336,0,1,0,2
ZONE_00249,2,1896,0,0,1,1
ZONE_00250,0,957,1,1,1,3
ZONE_00251,4,2507,1,0,0,5
ZONE_00252,7,2561,1,1,0,4
ZONE_00253,0,646,1,1,0,2
ZONE_00254,9,2720,1,0,0,3
ZONE_00255,7,1166,0,0,0,1
ZONE_00256,5,524,1,1,0,2
ZONE_00257,1,2417,0,1,0,3
ZONE_00258,7,2177,0,1,1,1
ZONE_00259,8,2391,1,0,1,3
ZONE_00260,7,2029,0,1,0,5
ZONE_00261,2,1190,0,0,0,3
ZONE_00262,2,1815,1,1,0,1
ZONE_00263,2,2678,1,1,0,2
ZONE_00264,4,1723,0,1,1,1
ZONE_00265,9,2633,1,1,0,2
ZONE_00266,5,1019,1,1,1,2
ZONE_00267,9,1684,0,0,0,2
ZONE_00268,3,969,1,0,1,2
ZONE_00269,4,1529,0,0,1,5
ZONE_00270,1,1506,0,1,0,5
ZONE_00271,7,1488,0,0,0,2
ZONE_00272,9,1126,0,0,1,2
ZONE_00273,0,1794,1,0,1,3
ZONE_00274,3,2539,1,1,0,4
ZONE_00275,3,2530,0,1,1,3
ZONE_00276,4,1580,0,0,1,2
ZONE_00277,7,2218,1,0,1,5
ZONE_00278,7,2651,0,0,1,1
ZONE_00279,4,2200,1,0,1,4
ZONE_00280,7,1520,1,1,0,5
ZONE_00281,5,1126,0,0,0,5
ZONE_00282,7,2804,1,1,0,4
ZONE_00283,5,2436,0,1,1,4
ZONE_00284,1,2619,1,1,0,2
ZONE_00285,9,2619,0,1,1,2
ZONE_00286,3,812,1,0,0,5
ZONE_00287,2,2949,1,0,0,4
ZONE_00288,7,2020,1,0,1,2
ZONE_00289,0,2014,1,0,0,3
ZONE_00290,1,2150,0,1,1,3
ZONE_00291,5,2865,1,1,0,5
ZONE_00292,0,2802,0,0,1,5
ZONE_00293,7,2902,0,0,1,1
ZONE_00294,0,1078,1,0,0,2
ZONE_00295,2,1142,1,0,0,3
ZONE_00296,0,2378,1,0,1,1
ZONE_00297,6,1295,1,0,0,2
ZONE_00298,0,720,1,1,1,3
ZONE_00299,5,522,1,0,1,2
ZONE_00300,0,2961,1,1,0,1
ZONE_00301,7,2395,1,0,0,1
ZONE_00302,9,1431,0,1,0,3
ZONE_00303,8,1532,1,0,1,5
ZONE_00304,6,2600,0,1,1,2
ZONE_00305,8,2274,1,1,1,4
ZONE_00306,5,722,1,0,0,2
ZONE_00307,1,703,0,0,1,1
ZONE_00308,9,2882,0,0,0,4
ZONE_00309,0,1054,0,0,1,3
ZONE_00310,6,1664,0,1,0,3
ZONE_00311,5,2455,0,1,0,3
ZONE_00312,2,2064,0,1,1,5
ZONE_00313,8,2857,0,1,1,5
ZONE_00314,5,775,1,0,1,5
ZONE_00315,2,1820,1,1,1,1
ZONE_00316,1,1227,0,0,0,5
ZONE_00317,2,623,0,0,1,2
ZONE_00318,8,1744,1,1,1,2
ZONE_00319,1,2799,0,1,1,2
ZONE_00320,3,1250,1,0,0,3
ZONE_00321,3,2253,0,1,1,3
ZONE_00322,4,1778,0,0,1,4
ZONE_00323,5,2204,0,1,1,2
ZONE_00324,2,957,0,0,0,2
ZONE_00325,5,1343,0,1,1,4
ZONE_00326,5,1156,0,0,1,1
ZONE_00327,3,1022,0,1,1,3
ZONE_00328,0,1062,1,0,1,4
ZONE_00329,3,1523,1,0,1,3
ZONE_00330,3,2381,0,1,1,1
ZONE_00331,1,1821,0,0,0,1
ZONE_00332,0,819,0,0,0,4
ZONE_00333,4,1368,1,1,0,5
ZONE_00334,6,1798,1,0,0,4
ZONE_00335,1,1785,1,0,0,4
ZONE_00336,5,1192,1,0,1,3
ZONE_00337,7,2539,1,0,0,3
ZONE_00338,1,1775,1,0,1,1
ZONE_00339,3,2106,1,1,1,1
ZONE_00340,3,2012,0,1,0,2
ZONE_00341,2,2052,1,0,1,4
ZONE_00342,8,2255,0,1,1,3
ZONE_00343,5,989,1,1,1,3
ZONE_00344,2,726,1,1,1,4
ZONE_00345,4,1127,1,0,0,5
ZONE_00346,3,1750,0,0,0,3
ZONE_00347,1,990,1,1,1,3
ZONE_00348,4,1056,1,1,0,2
ZONE_00349,5,2709,0,1,1,3
ZONE_00350,9,1767,1,1,0,4
ZONE_00351,7,1774,1,1,1,1
ZONE_00352,4,2539,1,0,1,5
ZONE_00353,4,508,1,0,0,2
ZONE_00354,4,2782,0,1,1,2
ZONE_00355,9,2770,1,1,1,5
ZONE_00356,9,1174,0,1,1,5
ZONE_00357,9,2400,1,1,0,3
ZONE_00358,7,2128,0,1,1,3
ZONE_00359,4,788,1,0,1,4
ZONE_00360,2,2353,1,0,0,1
ZONE_00361,2,2167,1,1,0,5
ZONE_00362,1,2249,0,1,1,1
ZONE_00363,5,1205,1,1,1,5
ZONE_00364,2,2131,0,1,0,4
ZONE_00365,1,2619,1,1,0,5
ZONE_00366,3,1569,1,1,1,5
ZONE_00367,7,2836,0,0,1,3
ZONE_00368,2,2804,0,0,1,5
ZONE_00369,8,756,1,1,1,4
ZONE_00370,0,584,0,1,1,5
ZONE_00371,8,1897,0,1,1,1
ZONE_00372,5,1962,0,1,0,3
ZONE_00373,7,1748,0,1,1,5
ZONE_00374,7,657,0,1,1,5
ZONE_00375,9,2271,0,0,0,3
ZONE_00376,5,2285,1,1,0,2
ZONE_00377,9,1017,1,1,1,1
ZONE_00378,6,2761,1,1,0,5
ZONE_00379,6,625,1,1,1,2
ZONE_00380,8,1456,0,0,1,1
ZONE_00381,6,2576,1,1,1,2
ZONE_00382,3,1304,0,0,1,5
ZONE_00383,8,1151,0,1,1,4
ZONE_00384,9,2815,0,1,0,2
ZONE_00385,8,2218,0,1,1,3
ZONE_00386,1,1607,1,0,1,5
ZONE_00387,8,1132,1,1,1,2
ZONE_00388,1,1380,0,1,0,1
ZONE_00389,2,1043,1,1,1,4
ZONE_00390,2,936,0,1,0,3
ZONE_00391,1,2251,1,0,1,2
ZONE_00392,0,1933,1,1,0,1
ZONE_00393,6,664,1,1,1,3
ZONE_00394,5,1678,1,0,1,5
ZONE_00395,5,2464,0,0,1,1
ZONE_00396,8,2196,1,1,1,3
ZONE_00397,0,1505,1,0,1,1
ZONE_00398,8,2033,1,0,1,5
ZONE_00399,3,1201,0,1,1,4
ZONE_00400,9,2429,1,1,1,1
ZONE_00401,1,2993,1,1,0,3
ZONE_00402,5,2979,1,1,1,5
ZONE_00403,4,1051,1,1,0,3
ZONE_00404,6,1909,0,1,1,3
ZONE_00405,2,2853,0,1,1,1
ZONE_00406,5,2818,1,1,1,4
ZONE_00407,9,1270,0,1,1,5
ZONE_00408,8,2219,1,0,1,1
ZONE_00409,4,1407,0,1,0,2
ZONE_00410,5,2745,0,1,1,4
ZONE_00411,4,919,0,1,0,5
ZONE_00412,0,2178,0,0,0,4
ZONE_00413,9,2730,1,1,0,3
ZONE_00414,9,1561,0,1,1,5
ZONE_00415,0,2015,0,0,0,2
ZONE_00416,8,796,1,0,1,4
ZONE_00417,1,2718,1,0,0,5
ZONE_00418,0,1088,0,1,1,1
ZONE_00419,5,1208,0,0,0,5
ZONE_00420,0,825,1,1,0,2
ZONE_00421,1,2486,0,0,1,4
ZONE_00422,9,1794,0,0,1,1
ZONE_00423,8,2025,0,0,1,1
ZONE_00424,2,1906,1,0,0,5
ZONE_00425,3,2002,0,0,0,2
ZONE_00426,2,2587,0,0,0,2
ZONE_00427,2,2987,1,0,0,5
ZONE_00428,8,2612,1,1,0,2
ZONE_00429,2,2291,1,1,1,2
ZONE_00430,9,2758,0,0,1,5
ZONE_00431,1,1868,0,1,1,1
ZONE_00432,5,1185,1,0,1,5
ZONE_00433,2,2781,0,1,1,5
ZONE_00434,8,2244,0,0,0,2
ZONE_00435,7,642,1,0,1,5
ZONE_00436,9,2542,1,1,0,4
ZONE_00437,0,2323,1,0,0,2
ZONE_00438,8,1393,0,0,0,3
ZONE_00439,5,994,0,0,0,3
ZONE_00440,5,2882,1,0,1,1
ZONE_00441,4,1591,1,0,0,4
ZONE_00442,9,2968,1,1,0,2
ZONE_00443,6,739,1,1,1,2
ZONE_00444,6,2891,1,1,0,5
ZONE_00445,5,2381,1,0,0,1
ZONE_00446,8,2066,1,0,1,3
ZONE_00447,8,1912,0,0,0,1
ZONE_00448,4,2465,0,1,1,5
ZONE_00449,7,879,1,0,1,1
ZONE_00450,9,2188,0,1,0,4
ZONE_00451,0,1869,1,1,1,3
ZONE_00452,1,2615,1,0,1,5
ZONE_00453,8,953,0,1,0,5
ZONE_00454,7,2368,1,1,1,2
ZONE_00455,3,2646,0,0,0,3
ZONE_00456,7,1343,0,0,0,4
ZONE_00457,8,795,0,0,0,4
ZONE_00458,3,2321,0,1,1,5
ZONE_00459,3,2864,0,1,0,4
ZONE_00460,1,1463,1,0,1,5
ZONE_00461,7,1131,1,0,0,2
ZONE_00462,4,759,1,0,0,2
ZONE_00463,7,2823,1,0,1,1
ZONE_00464,4,958,0,0,1,5
ZONE_00465,2,1475,1,1,1,2
ZONE_00466,8,1359,1,1,1,3
ZONE_00467,2,1834,0,1,0,2
ZONE_00468,8,747,1,1,1,5
ZONE_00469,1,1262,0,1,0,4
ZONE_00470,4,1425,1,1,0,2
ZONE_00471,6,1850,0,1,1,4
ZONE_00472,7,1600,1,1,0,1
ZONE_00473,1,2627,1,1,1,5
ZONE_00474,6,2172,1,0,1,3
ZONE_00475,1,2691,1,0,0,3
ZONE_00476,8,1539,0,0,0,2
ZONE_00477,7,1572,0,0,0,1
ZONE_00478,7,2648,1,1,0,4
ZONE_00479,4,1136,1,0,0,5
ZONE_00480,3,1997,1,0,0,4
ZONE_00481,8,1407,1,1,0,3
ZONE_00482,4,845,1,1,0,3
ZONE_00483,4,769,1,1,0,1
ZONE_00484,0,1152,0,1,0,3
ZONE_00485,5,693,1,0,1,4
ZONE_00486,7,2189,0,0,1,5
ZONE_00487,9,1360,0,0,0,1
ZONE_00488,0,890,1,0,0,2
ZONE_00489,3,2395,0,0,1,5
ZONE_00490,1,2334,0,1,0,1
ZONE_00491,1,1634,0,0,0,4
ZONE_00492,9,501,1,1,1,5
ZONE_00493,3,1008,0,1,1,1
ZONE_00494,8,2122,0,0,1,2
ZONE_00495,8,2134,1,1,1,5
ZONE_00496,4,2064,1,1,1,4
ZONE_00497,5,1143,1,0,1,5
ZONE_00498,1,519,1,1,0,5
ZONE_00499,7,2782,1,0,1,3
ZONE_00500,2,2126,0,0,0,3
ZONE_00501,7,2764,0,0,1,3
ZONE_00502,1,2944,0,0,1,4
ZONE_00503,4,2241,0,1,1,4
ZONE_00504,0,2788,0,0,1,1
ZONE_00505,6,805,1,1,1,5
ZONE_00506,6,749,0,1,0,2
ZONE_00507,6,2937,1,1,0,1
ZONE_00508,6,531,0,1,1,1
ZONE_00509,7,2003,1,1,0,5
ZONE_00510,1,1877,0,0,0,3
ZONE_00511,7,1996,1,1,0,1
ZONE_00512,0,1586,0,0,1,2
ZONE_00513,5,901,1,0,1,3
ZONE_00514,5,2546,1,1,1,4
ZONE_00515,2,748,1,1,0,1
ZONE_00516,5,1485,0,1,1,3
ZONE_00517,1,2892,0,1,1,3
ZONE_00518,6,2235,0,0,1,2
ZONE_00519,9,1639,0,0,1,2
ZONE_00520,7,1231,1,1,1,5
ZONE_00521,2,2281,0,0,0,4
ZONE_00522,1,1935,1,1,0,3
ZONE_00523,1,767,1,1,1,3
ZONE_00524,0,2956,1,0,1,1
ZONE_00525,6,978,0,0,0,5
ZONE_00526,3,1198,1,0,1,3
ZONE_00527,8,2285,1,0,0,2
ZONE_00528,8,2690,1,0,0,1
ZONE_00529,1,2358,1,1,0,1
ZONE_00530,1,1860,0,1,1,1
ZONE_00531,8,2862,1,0,1,2
ZONE_00532,2,2917,0,1,0,5
ZONE_00533,8,2344,0,0,1,2
ZONE_00534,6,1353,1,1,1,5
ZONE_00535,6,2336,1,1,0,4
ZONE_00536,4,1416,1,1,0,4
ZONE_00537,0,2524,0,0,0,5
ZONE_00538,7,2899,1,0,0,1
ZONE_00539,1,1646,0,1,1,5
ZONE_00540,1,1687,1,0,0,5
ZONE_00541,4,1828,1,0,1,2
ZONE_00542,9,1904,1,1,1,1
ZONE_00543,2,2504,1,0,0,1
ZONE_00544,3,1155,1,1,0,3
ZONE_00545,3,2584,0,1,0,2
ZONE_00546,7,551,1,1,0,4
ZONE_00547,2,1679,0,0,0,5
ZONE_00548,0,2916,0,0,1,2
ZONE_00549,0,1332,1,1,0,2
ZONE_00550,7,2236,1,0,1,5
ZONE_00551,5,2665,0,1,1,2
ZONE_00552,4,839,0,0,0,3
ZONE_00553,3,1034,1,0,1,5
ZONE_00554,0,559,0,1,1,4
ZONE_00555,0,2271,0,1,0,4
ZONE_00556,1,2190,0,1,0,3
ZONE_00557,9,2034,1,0,0,4
ZONE_00558,4,1501,1,1,0,1
ZONE_00559,1,2103,0,1,0,2
ZONE_00560,5,2499,0,0,1,5
ZONE_00561,0,1986,1,0,0,4
ZONE_00562,3,1559,0,1,0,1
ZONE_00563,3,2080,0,1,1,5
ZONE_00564,9,1625,0,0,1,2
ZONE_00565,4,616,0,1,1,2
ZONE_00566,0,1585,1,1,1,5
ZONE_00567,9,1989,0,1,1,1
ZONE_00568,2,1013,1,1,0,3
ZONE_00569,7,1821,1,0,0,4
ZONE_00570,6,1329,0,1,1,4
ZONE_00571,4,980,0,0,0,2
ZONE_00572,8,2709,0,0,0,4
ZONE_00573,4,1951,1,0,1,1
ZONE_00574,5,757,0,0,1,4
ZONE_00575,2,2310,1,1,0,4
ZONE_00576,1,1928,0,0,1,4
ZONE_00577,8,1356,0,0,0,3
ZONE_00578,0,1522,0,1,0,2
ZONE_00579,5,2627,0,0,0,2
ZONE_00580,3,1315,1,1,0,4
ZONE_00581,6,1383,1,0,1,5
ZONE_00582,0,2102,0,1,0,5
ZONE_00583,1,2126,1,1,0,5
ZONE_00584,5,2349,1,1,1,5
ZONE_00585,6,2611,1,1,1,4
ZONE_00586,4,1031,0,0,1,1
ZONE_00587,7,1062,1,1,0,3
ZONE_00588,6,862,0,1,0,2
ZONE_00589,4,2371,0,1,0,2
ZONE_00590,6,1988,1,1,0,1
ZONE_00591,6,2223,0,1,0,5
ZONE_00592,7,2558,1,0,0,5
ZONE_00593,8,1483,1,1,1,5
ZONE_00594,6,1843,0,1,0,3
ZONE_00595,8,2051,1,1,0,2
ZONE_00596,6,2753,0,1,0,3
ZONE_00597,1,2830,1,0,1,1
ZONE_00598,9,1102,1,1,1,4
ZONE_00599,3,2102,0,1,1,5
ZONE_00600,1,560,0,0,1,3
ZONE_00601,7,1313,1,1,0,3
ZONE_00602,5,1254,0,0,1,1
ZONE_00603,3,1509,1,1,1,2
ZONE_00604,1,1277,0,0,0,5
ZONE_00605,0,1129,0,1,1,1
ZONE_00606,3,636,1,0,1,4
ZONE_00607,1,2095,0,0,1,2
ZONE_00608,5,736,1,0,0,5
ZONE_00609,3,1484,0,0,1,3
ZONE_00610,7,1243,0,1,0,1
ZONE_00611,3,1740,1,0,1,2
ZONE_00612,5,2523,1,1,0,1
ZONE_00613,3,1860,0,1,0,4
ZONE_00614,7,1105,1,1,0,2
ZONE_00615,1,562,0,0,1,3
ZONE_00616,9,2667,0,1,0,1
ZONE_00617,1,2694,1,0,0,3
ZONE_00618,3,1435,0,1,1,1
ZONE_00619,9,2212,0,1,1,5
ZONE_00620,6,1338,1,0,0,5
ZONE_00621,3,1220,1,1,1,2
ZONE_00622,3,1771,1,0,0,1
ZONE_00623,0,1946,0,0,1,5
ZONE_00624,9,2426,0,1,0,4
ZONE_00625,1,2106,1,1,0,2
ZONE_00626,6,904,0,0,1,2
ZONE_00627,2,1974,0,1,0,4
ZONE_00628,1,1204,1,0,1,3
ZONE_00629,8,1269,0,0,0,5
ZONE_00630,3,1771,0,1,0,4
ZONE_00631,6,1638,1,0,0,2
ZONE_00632,9,2675,1,0,1,5
ZONE_00633,8,986,1,0,1,4
ZONE_00634,2,1893,1,1,1,5
ZONE_00635,2,2388,0,1,0,4
ZONE_00636,8,2488,1,0,0,1
ZONE_00637,7,2625,0,1,1,3
ZONE_00638,8,2489,1,1,0,3
ZONE_00639,2,2111,0,0,1,1
ZONE_00640,8,506,0,0,1,2
ZONE_00641,9,2227,0,0,1,3
ZONE_00642,3,1152,1,1,1,2
ZONE_00643,7,2156,1,1,1,1
ZONE_00644,7,1046,1,0,0,4
ZONE_00645,5,2447,0,1,0,2
ZONE_00646,2,1999,0,0,0,4
ZONE_00647,8,2623,1,1,1,5
ZONE_00648,2,662,1,0,0,3
ZONE_00649,2,1748,0,0,1,4
ZONE_00650,1,1891,0,1,1,4
ZONE_00651,0,642,1,0,0,4
ZONE_00652,9,2479,1,0,0,4
ZONE_00653,5,2935,1,1,1,4
ZONE_00654,2,2885,1,1,0,1
ZONE_00655,9,940,0,0,1,3
ZONE_00656,5,1361,0,1,0,1
ZONE_00657,2,1235,1,0,0,5
ZONE_00658,9,2245,0,0,1,1
ZONE_00659,3,990,0,0,0,1
ZONE_00660,3,2529,1,0,0,5
ZONE_00661,4,2055,1,0,0,4
ZONE_00662,7,586,0,1,1,5
ZONE_00663,5,1937,0,1,1,3
ZONE_00664,7,2377,0,1,0,3
ZONE_00665,4,1596,0,1,1,1
ZONE_00666,2,2207,1,1,1,3
ZONE_00667,3,1882,0,0,1,3
ZONE_00668,9,1727,0,1,0,3
